PON: 0/1/1:31 | Nama: FQ-087@240324/ODP11 | MAC: 2c:ab:00:ba:bf:ab | Data: 0/1/1:31,FQ-087@240324/ODP11,2c:ab:00:ba:bf:ab,Down,NA,NA,NA,NA,NA,NA,NA,0,240
PON: 0/1/1:32 | Nama: NA | MAC: 48:8e:ef:84:79:b4 | Data: 0/1/1:32,NA,48:8e:ef:84:79:b4,Down,NA,NA,NA,NA,NA,NA,NA,0,231
PON: 0/1/1:33 | Nama: NA | MAC: 6c:d2:ba:1f:0f:c8 | Data: 0/1/1:33,NA,6c:d2:ba:1f:0f:c8,Down,NA,NA,NA,NA,NA,NA,NA,0,144
PON: 0/1/1:34 | Nama: NA | MAC: 50:78:b3:13:ea:6b | Data: 0/1/1:34,NA,50:78:b3:13:ea:6b,Down,NA,NA,NA,NA,NA,NA,NA,0,145
PON: 0/1/1:35 | Nama: NA | MAC: 48:a7:4e:74:86:82 | Data: 0/1/1:35,NA,48:a7:4e:74:86:82,Down,NA,NA,NA,NA,NA,NA,NA,0,525
PON: 0/1/1:36 | Nama: FQ-004@260824/ODP5 | MAC: 48:fd:8e:0a:0e:e0 | Data: 0/1/1:36,FQ-004@260824/ODP5,48:fd:8e:0a:0e:e0,Down,NA,NA,NA,NA,NA,NA,NA,0,108
PON: 0/1/1:37 | Nama: FQ-025@10120/ODP9 | MAC: c0:d0:ff:c2:cc:a0 | Data: 0/1/1:37,FQ-025@10120/ODP9,c0:d0:ff:c2:cc:a0,Down,NA,NA,NA,NA,NA,NA,NA,0,135
PON: 0/1/1:38 | Nama: NA | MAC: 14:ad:ca:92:41:ac | Data: 0/1/1:38,NA,14:ad:ca:92:41:ac,Down,NA,NA,NA,NA,NA,NA,NA,0,270
PON: 0/1/1:39 | Nama: NA | MAC: e8:a1:f8:0c:e9:26 | Data: 0/1/1:39,NA,e8:a1:f8:0c:e9:26,Down,NA,NA,NA,NA,NA,NA,NA,0,419
PON: 0/1/1:40 | Nama: NA | MAC: 94:bf:80:36:93:eb | Data: 0/1/1:40,NA,94:bf:80:36:93:eb,Down,NA,NA,NA,NA,NA,NA,NA,0,344
PON: 0/1/1:41 | Nama: NA | MAC: 94:bf:80:77:d9:b7 | Data: 0/1/1:41,NA,94:bf:80:77:d9:b7,Down,NA,NA,NA,NA,NA,NA,NA,0,344
PON: 0/1/1:42 | Nama: NA | MAC: a0:9b:12:fc:a4:80 | Data: 0/1/1:42,NA,a0:9b:12:fc:a4:80,Down,NA,NA,NA,NA,NA,NA,NA,0,143
PON: 0/1/1:43 | Nama: NA | MAC: b0:30:55:70:40:80 | Data: 0/1/1:43,NA,b0:30:55:70:40:80,Down,NA,NA,NA,NA,NA,NA,NA,0,244
PON: 0/1/1:44 | Nama: NA | MAC: fc:40:09:3f:07:96 | Data: 0/1/1:44,NA,fc:40:09:3f:07:96,Down,NA,NA,NA,NA,NA,NA,NA,0,138
PON: 0/1/1:45 | Nama: NA | MAC: b0:30:55:74:c0:10 | Data: 0/1/1:45,NA,b0:30:55:74:c0:10,Down,NA,NA,NA,NA,NA,NA,NA,0,368
PON: 0/1/1:46 | Nama: NA | MAC: 94:ff:61:2f:f4:76 | Data: 0/1/1:46,NA,94:ff:61:2f:f4:76,Down,NA,NA,NA,NA,NA,NA,NA,0,161
PON: 0/1/1:47 | Nama: NA | MAC: 44:e6:b0:60:38:88 | Data: 0/1/1:47,NA,44:e6:b0:60:38:88,Down,NA,NA,NA,NA,NA,NA,NA,0,366
PON: 0/1/1:48 | Nama: NA | MAC: 44:22:95:04:a6:28 | Data: 0/1/1:48,NA,44:22:95:04:a6:28,Down,NA,NA,NA,NA,NA,NA,NA,0,452
PON: 0/1/1:49 | Nama: NA | MAC: b0:8b:92:ae:6a:92 | Data: 0/1/1:49,NA,b0:8b:92:ae:6a:92,Down,NA,NA,NA,NA,NA,NA,NA,0,207
PON: 0/1/1:50 | Nama: NA | MAC: 68:8b:0f:01:6f:b0 | Data: 0/1/1:50,NA,68:8b:0f:01:6f:b0,Down,NA,NA,NA,NA,NA,NA,NA,0,247
PON: 0/1/1:51 | Nama: NA | MAC: b0:30:55:40:5e:58 | Data: 0/1/1:51,NA,b0:30:55:40:5e:58,Down,NA,NA,NA,NA,NA,NA,NA,0,327
PON: 0/1/1:52 | Nama: NA | MAC: a0:9b:12:50:68:a8 | Data: 0/1/1:52,NA,a0:9b:12:50:68:a8,Down,NA,NA,NA,NA,NA,NA,NA,0,365
PON: 0/1/1:53 | Nama: NA | MAC: 44:e6:b0:dc:2b:60 | Data: 0/1/1:53,NA,44:e6:b0:dc:2b:60,Down,NA,NA,NA,NA,NA,NA,NA,0,535
PON: 0/1/1:54 | Nama: NA | MAC: d4:7e:e4:fa:16:58 | Data: 0/1/1:54,NA,d4:7e:e4:fa:16:58,Down,NA,NA,NA,NA,NA,NA,NA,0,397
PON: 0/1/1:55 | Nama: NA | MAC: b0:30:55:8c:50:88 | Data: 0/1/1:55,NA,b0:30:55:8c:50:88,Down,NA,NA,NA,NA,NA,NA,NA,0,83
PON: 0/1/1:56 | Nama: NA | MAC: d0:60:8c:ab:e9:c2 | Data: 0/1/1:56,NA,d0:60:8c:ab:e9:c2,Down,NA,NA,NA,NA,NA,NA,NA,0,122
PON: 0/1/1:57 | Nama: NA | MAC: 1c:78:4e:00:17:18 | Data: 0/1/1:57,NA,1c:78:4e:00:17:18,Down,NA,NA,NA,NA,NA,NA,NA,0,179
PON: 0/1/1:58 | Nama: NA | MAC: 44:fb:5a:2a:80:13 | Data: 0/1/1:58,NA,44:fb:5a:2a:80:13,Down,NA,NA,NA,NA,NA,NA,NA,-23.10,521
PON: 0/1/1:59 | Nama: NA | MAC: a4:f3:3b:69:db:ba | Data: 0/1/1:59,NA,a4:f3:3b:69:db:ba,Down,NA,NA,NA,NA,NA,NA,NA,0,443
PON: 0/1/1:60 | Nama: NA | MAC: a0:09:2e:4e:26:75 | Data: 0/1/1:60,NA,a0:09:2e:4e:26:75,Down,NA,NA,NA,NA,NA,NA,NA,-17.30,409
PON: 0/1/1:61 | Nama: NA | MAC: a0:9b:12:50:4b:a0 | Data: 0/1/1:61,NA,a0:9b:12:50:4b:a0,Down,NA,NA,NA,NA,NA,NA,NA,0,420
