PON: 0/1/2:13 | Nama: NA | MAC: 14:ad:ca:92:41:ac | Data: 0/1/2:13,NA,14:ad:ca:92:41:ac,Up,NA,NA,NA,NA,NA,NA,NA,-19.55,270
PON: 0/1/2:14 | Nama: NA | MAC: 68:8b:0f:01:6f:b0 | Data: 0/1/2:14,NA,68:8b:0f:01:6f:b0,Up,NA,NA,NA,NA,NA,NA,NA,-18.93,246
PON: 0/1/2:15 | Nama: NA | MAC: 44:e6:b0:60:38:88 | Data: 0/1/2:15,NA,44:e6:b0:60:38:88,Up,NA,NA,NA,NA,NA,NA,NA,-18.73,368
PON: 0/1/2:16 | Nama: NA | MAC: 48:fd:8e:6a:39:4f | Data: 0/1/2:16,NA,48:fd:8e:6a:39:4f,Up,NA,NA,NA,NA,NA,NA,NA,-18.39,200
PON: 0/1/2:17 | Nama: NA | MAC: 2c:ab:00:1a:01:bb | Data: 0/1/2:17,NA,2c:ab:00:1a:01:bb,Up,NA,NA,NA,NA,NA,NA,NA,-18.70,174
PON: 0/1/2:18 | Nama: NA | MAC: 2c:ab:00:ba:bf:ab | Data: 0/1/2:18,NA,2c:ab:00:ba:bf:ab,Up,NA,NA,NA,NA,NA,NA,NA,-18.93,238
PON: 0/1/2:19 | Nama: NA | MAC: bc:76:c5:8d:bf:2c | Data: 0/1/2:19,NA,bc:76:c5:8d:bf:2c,Up,NA,NA,NA,NA,NA,NA,NA,-22.68,361
PON: 0/1/2:20 | Nama: NA | MAC: c0:d0:ff:c2:cc:a0 | Data: 0/1/2:20,NA,c0:d0:ff:c2:cc:a0,Up,NA,NA,NA,NA,NA,NA,NA,-17.30,137
PON: 0/1/2:21 | Nama: NA | MAC: 74:b5:7e:3a:f1:2f | Data: 0/1/2:21,NA,74:b5:7e:3a:f1:2f,Up,NA,NA,NA,NA,NA,NA,NA,-20.18,378
PON: 0/1/2:22 | Nama: NA | MAC: 84:1c:70:c4:e4:cb | Data: 0/1/2:22,NA,84:1c:70:c4:e4:cb,PwrDown,NA,NA,NA,NA,NA,NA,NA,-23.10,209
PON: 0/1/2:23 | Nama: NA | MAC: a4:f3:3b:69:db:ba | Data: 0/1/2:23,NA,a4:f3:3b:69:db:ba,Up,NA,NA,NA,NA,NA,NA,NA,-22.84,441
PON: 0/1/2:24 | Nama: NA | MAC: a0:9b:12:d4:1b:08 | Data: 0/1/2:24,NA,a0:9b:12:d4:1b:08,PwrDown,NA,NA,NA,NA,NA,NA,NA,-19.43,156
