PON: 0/1/2:19 | Nama: NA | MAC: fc:8e:5b:f8:ab:e8 | Data: 0/1/2:19,NA,fc:8e:5b:f8:ab:e8,Up,NA,NA,NA,NA,NA,NA,NA,0.39,102
PON: 0/1/2:20 | Nama: NA | MAC: fc:f2:9f:e1:c3:50 | Data: 0/1/2:20,NA,fc:f2:9f:e1:c3:50,Up,NA,NA,NA,NA,NA,NA,NA,-4.98,101
PON: 0/1/2:21 | Nama: NA | MAC: 44:22:95:6f:c2:78 | Data: 0/1/2:21,NA,44:22:95:6f:c2:78,Down,NA,NA,NA,NA,NA,NA,NA,0,102
PON: 0/1/2:22 | Nama: NA | MAC: 14:ad:ca:3c:17:c0 | Data: 0/1/2:22,NA,14:ad:ca:3c:17:c0,Down,NA,NA,NA,NA,NA,NA,NA,0,107
PON: 0/1/2:23 | Nama: NA | MAC: 68:8b:0f:07:cd:08 | Data: 0/1/2:23,NA,68:8b:0f:07:cd:08,Up,NA,NA,NA,NA,NA,NA,NA,-3.11,137
PON: 0/1/2:24 | Nama: NA | MAC: b0:30:55:74:c0:10 | Data: 0/1/2:24,NA,b0:30:55:74:c0:10,Down,NA,NA,NA,NA,NA,NA,NA,0,102
PON: 0/1/2:25 | Nama: NA | MAC: 68:8b:0f:3f:58:e0 | Data: 0/1/2:25,NA,68:8b:0f:3f:58:e0,Down,NA,NA,NA,NA,NA,NA,NA,0,100
PON: 0/1/2:26 | Nama: NA | MAC: fc:f2:9f:c1:08:f0 | Data: 0/1/2:26,NA,fc:f2:9f:c1:08:f0,Down,NA,NA,NA,NA,NA,NA,NA,0,108
PON: 0/1/2:27 | Nama: NA | MAC: d4:7e:e4:7b:7e:a8 | Data: 0/1/2:27,NA,d4:7e:e4:7b:7e:a8,Up,NA,NA,NA,NA,NA,NA,NA,-3.70,106
PON: 0/1/2:28 | Nama: NA | MAC: fc:f2:9f:c3:35:08 | Data: 0/1/2:28,NA,fc:f2:9f:c3:35:08,Up,NA,NA,NA,NA,NA,NA,NA,-3.63,174
PON: 0/1/2:29 | Nama: NA | MAC: d4:7e:e4:79:9a:48 | Data: 0/1/2:29,NA,d4:7e:e4:79:9a:48,Down,NA,NA,NA,NA,NA,NA,NA,0,116
PON: 0/1/2:30 | Nama: NA | MAC: fc:f2:9f:b0:a2:c0 | Data: 0/1/2:30,NA,fc:f2:9f:b0:a2:c0,Down,NA,NA,NA,NA,NA,NA,NA,0,701
