PON: 1/2/1:33 | Nama: NA | MAC: ac:54:74:39:86:c8 | Data: 1/2/1:33,NA,ac:54:74:39:86:c8,Up,ZTE-F601,GGCL053986C7,NA,NA,NA,NA,NA,-17.257,6.554
PON: 1/2/1:34 | Nama: NA | MAC: 1c:78:4e:f7:bc:41 | Data: 1/2/1:34,NA,1c:78:4e:f7:bc:41,Up,ZTE-F601,CIOT14F7BC40,NA,NA,NA,NA,NA,-15.164,6.554
PON: 1/2/1:35 | Nama: NA | MAC: 24:58:6e:d0:ec:23 | Data: 1/2/1:35,NA,24:58:6e:d0:ec:23,Up,ZTE-F601,ZTEGC8A55751,NA,NA,NA,NA,NA,-13.704,6.554
PON: 1/2/2:1 | Nama: NA | MAC: NA | Data: 1/2/2:1,NA,NA,Down,ZTE-F609,ZTEGCC0E88CA,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:2 | Nama: NA | MAC: NA | Data: 1/2/2:2,NA,NA,Down,ZTE-F609,CIOT10C63530,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:3 | Nama: NA | MAC: NA | Data: 1/2/2:3,NA,NA,Down,ZTE-F609,ZICGC955E4E6,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:4 | Nama: NA | MAC: NA | Data: 1/2/2:4,NA,NA,Down,ZTE-F601,SPDG0C65EF94,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:5 | Nama: NA | MAC: NA | Data: 1/2/2:5,NA,NA,Down,ZTE-F601,ZTEGCC11F355,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:6 | Nama: NA | MAC: 1c:78:4e:29:9c:d0 | Data: 1/2/2:6,NA,1c:78:4e:29:9c:d0,Up,ZTE-F609,CIOT14299CD0,NA,NA,NA,NA,NA,-15.559,6.289
PON: 1/2/2:7 | Nama: NA | MAC: NA | Data: 1/2/2:7,NA,NA,Down,ZTE-F601,CIOT10055230,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:8 | Nama: NA | MAC: fc:8e:5b:a8:43:48 | Data: 1/2/2:8,NA,fc:8e:5b:a8:43:48,Up,ZTE-F609,CIOT15A84348,NA,NA,NA,NA,NA,-25.909,6.289
PON: 1/2/2:9 | Nama: NA | MAC: NA | Data: 1/2/2:9,NA,NA,Down,ZTE-F601,CIOT17A4D500,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:10 | Nama: NA | MAC: NA | Data: 1/2/2:10,NA,NA,Down,ZTE-F601,CIOT0900BFE0,NA,NA,NA,NA,NA,0,6.289
